fraccion_eliminada,eficiencia,n_componentes,tamanio_cgc,estrategia
0.8,0.0,36.0,1.0,betweenness
0.85,0.0,27.0,1.0,betweenness
0.9,0.0,18.0,1.0,betweenness
0.95,0.0,9.0,1.0,betweenness
1.0,0.0,0.0,0.0,betweenness
0.0,0.20821202245507564,1.0,177.0,btw_recalc
0.05,0.018180003756926782,45.0,11.0,btw_recalc
0.1,0.009453616352201266,85.0,6.0,btw_recalc
0.15,0.0048050036791758635,109.0,5.0,btw_recalc
0.2,0.0025971431425432026,118.0,3.0,btw_recalc
0.25,0.001594896331738437,119.0,2.0,btw_recalc
0.3,0.0015735641227380016,112.0,2.0,btw_recalc
0.35,0.0017991004497751124,104.0,2.0,btw_recalc
0.4,0.0021160289190618937,95.0,2.0,btw_recalc
0.45,0.0025247212286976647,86.0,2.0,btw_recalc
0.5,0.0030643513789581204,77.0,2.0,btw_recalc
0.55,0.003481012658227848,69.0,2.0,btw_recalc
0.6,0.004426559356136821,60.0,2.0,btw_recalc
0.65,0.005288207297726071,52.0,2.0,btw_recalc
0.7,0.0069881201956673656,44.0,2.0,btw_recalc
0.75,0.00909090909090909,36.0,2.0,btw_recalc
0.8,0.011111111111111112,29.0,2.0,btw_recalc
0.85,0.017094017094017096,21.0,2.0,btw_recalc
0.9,0.026143790849673203,14.0,2.0,btw_recalc
0.95,0.027777777777777776,8.0,2.0,btw_recalc
1.0,0.0,0.0,0.0,btw_recalc
0.0,0.0,0.0,0.0,aleatorio_std
0.05,0.022700626224632137,5.051442438261639,15.47670455356643,aleatorio_std
0.1,0.026559939652973406,7.142814429886722,17.63436440818914,aleatorio_std
0.15,0.03098036955393224,8.404730510224281,20.318859727013734,aleatorio_std
0.2,0.03347455190531967,9.5723243749569,21.653319898488142,aleatorio_std
0.25,0.03586391077760709,10.376444769795002,23.078826274796178,aleatorio_std
0.3,0.033821313934052036,9.500935626441102,21.52137532686041,aleatorio_std
0.35,0.03168370755227589,9.282632855352661,19.92161153272009,aleatorio_std
0.4,0.026180145016984954,8.608335166769143,16.276931063578445,aleatorio_std
0.45,0.024034232354550635,7.803676937019735,14.119561615079279,aleatorio_std
0.5,0.02096622712185183,7.149620319084834,11.292421701246722,aleatorio_std
0.55,0.01918066930795191,7.308573905027748,9.043525503660256,aleatorio_std
0.6,0.017501686610588443,6.501561583981425,7.408812661317942,aleatorio_std
0.65,0.015426775723034095,5.8006965795567,5.777210539366001,aleatorio_std
0.7,0.012944400126968417,4.89852585535236,4.31435236896992,aleatorio_std
0.75,0.011932047006980959,4.151803794433781,3.189566323708183,aleatorio_std
0.8,0.010367979472604667,3.023460456383237,2.048379502401492,aleatorio_std
0.85,0.010481925486923983,2.2633665816275284,1.372861054421559,aleatorio_std
0.9,0.01493532835242287,1.5569978883230462,1.0271073434405456,aleatorio_std
0.95,0.028737173202398145,0.7974707492814992,0.7571210756756961,aleatorio_std
1.0,0.0,0.0,0.0,aleatorio_std
